age,educational-num,gender,hours-per-week,native-country,income_>50K
19,5,Male,40,Cambodia,0
52,16,Male,70,Greece,1
33,9,Female,55,Cambodia,0
38,10,Female,50,Cambodia,0
34,10,Female,72,Cambodia,0
49,9,Male,40,Cambodia,0
36,10,Male,55,Cambodia,1
46,10,Female,50,Cambodia,0
21,9,Female,44,Cambodia,0
32,13,Male,45,Cambodia,0
24,3,Male,60,Nicaragua,0
59,9,Female,35,Cambodia,0
20,9,Male,40,Cambodia,0
32,9,Male,48,Cambodia,0
47,15,Male,40,Cambodia,1
37,5,Male,50,Cambodia,1
32,13,Male,55,Cambodia,1
20,10,Female,25,Cambodia,0
46,3,Female,40,Ecuador,0
37,9,Male,45,Cambodia,0
27,9,Female,40,Japan,0
30,9,Female,40,Cambodia,0
34,8,Female,40,Cambodia,0
26,13,Female,50,Cambodia,0
23,4,Male,25,Greece,0
21,10,Female,15,Cambodia,0
42,9,Male,40,Cambodia,1
68,9,Male,25,Cambodia,0
41,10,Male,40,Cambodia,1
49,3,Female,20,Vietnam,0
31,10,Male,40,Cambodia,0
58,9,Female,40,Cambodia,0
34,13,Male,55,Cambodia,0
80,9,Male,30,Cambodia,0
52,9,Male,40,Cambodia,0
56,9,Male,40,Cambodia,0
27,13,Female,40,Cambodia,0
49,13,Male,40,Cambodia,1
73,10,Female,11,Cambodia,0
59,5,Male,40,Cambodia,0
33,13,Male,45,Cambodia,1
39,10,Male,65,Cambodia,0
33,10,Female,35,Cambodia,0
52,9,Female,40,Cambodia,0
30,10,Male,45,Cambodia,1
46,9,Female,40,Cambodia,0
57,14,Male,45,Cambodia,1
31,13,Female,25,Cambodia,0
43,8,Male,40,Cambodia,0
51,10,Male,50,Cambodia,1
30,13,Male,40,Cambodia,0
64,9,Male,40,Cambodia,0
69,5,Male,40,Cambodia,0
22,13,Female,40,Cambodia,0
17,7,Male,20,Cambodia,0
41,9,Male,40,Cambodia,0
63,14,Male,40,Cambodia,0
23,4,Female,40,Ecuador,0
33,9,Male,40,Cambodia,0
23,10,Female,40,Cambodia,0
18,9,Female,8,Cambodia,0
37,9,Female,68,Cambodia,0
32,13,Male,20,Cambodia,0
36,13,Male,35,Cambodia,1
31,14,Male,30,Cambodia,0
55,9,Male,20,Cambodia,0
26,11,Female,35,Cambodia,0
55,14,Female,40,Trinadad&Tobago,0
46,9,Male,40,Scotland,0
26,9,Female,48,Cambodia,0
35,13,Male,40,Cambodia,0
47,16,Male,40,Cambodia,1
23,13,Male,40,Cambodia,0
29,11,Male,40,Cambodia,0
36,13,Male,55,Cambodia,1
36,10,Male,60,Cambodia,0
23,11,Male,33,Cambodia,0
51,9,Male,45,Cambodia,1
32,13,Female,40,Cambodia,0
55,9,Male,48,Cambodia,1
18,10,Male,16,Cambodia,0
50,9,Male,48,Cambodia,1
20,10,Male,35,Cambodia,0
23,6,Male,40,Cambodia,0
32,10,Male,99,Cambodia,1
58,12,Female,40,Cambodia,0
37,13,Female,40,Cambodia,0
29,7,Female,20,Cambodia,0
31,9,Male,45,Cambodia,0
19,9,Female,40,Cambodia,0
63,10,Female,35,Cambodia,0
34,9,Female,40,Nicaragua,0
33,14,Female,8,Cambodia,0
47,10,Male,60,Cambodia,1
32,10,Male,50,Cambodia,1
42,9,Male,72,Cambodia,1
26,7,Male,40,Cambodia,0
38,5,Male,40,Cambodia,0
54,14,Female,40,Columbia,0
43,9,Male,35,Cambodia,0
27,10,Female,40,Cambodia,0
39,10,Female,56,Cambodia,0
55,14,Male,62,Cambodia,1
42,10,Female,50,Cambodia,1
30,13,Male,40,Cambodia,1
28,13,Male,40,Cambodia,0
27,9,Male,20,Cambodia,0
57,3,Female,40,Cambodia,0
53,16,Female,40,Cambodia,0
20,9,Male,40,Cambodia,0
26,12,Female,40,Cambodia,0
19,10,Male,35,Greece,0
23,13,Female,43,Cambodia,0
44,14,Male,40,Cambodia,1
43,9,Male,60,Cambodia,0
65,9,Female,25,Cambodia,0
55,14,Male,60,Cambodia,1
17,5,Female,15,Cambodia,0
56,6,Male,45,Cambodia,0
43,7,Male,40,Cambodia,0
37,9,Male,45,Cambodia,0
40,13,Male,40,Scotland,0
27,10,Female,40,Cambodia,0
60,9,Male,45,Cambodia,1
20,9,Male,40,Cambodia,0
69,4,Female,40,Cambodia,0
63,13,Female,21,Cambodia,0
42,9,Male,48,Cambodia,0
19,9,Female,40,Cambodia,0
26,10,Male,40,Cambodia,0
34,16,Female,99,Cambodia,0
40,9,Male,50,Cambodia,0
26,10,Male,30,Cambodia,0
24,9,Male,50,Cambodia,0
50,10,Male,60,Cambodia,1
34,9,Female,20,Cambodia,0
41,15,Male,50,Cambodia,1
49,12,Female,30,Cambodia,0
24,10,Female,40,Cambodia,0
55,9,Male,35,Cambodia,0
31,8,Female,21,Cambodia,0
56,9,Male,40,Cambodia,0
42,13,Male,50,Cambodia,1
23,9,Male,30,Cambodia,0
46,15,Male,35,Dominican-Republic,1
40,10,Female,30,Cambodia,0
44,14,Male,50,Cambodia,0
27,10,Male,55,Taiwan,0
58,14,Male,50,Cambodia,0
60,13,Male,35,Cambodia,0
40,11,Male,40,Cambodia,1
19,5,Female,40,Cambodia,0
27,9,Male,40,Cambodia,0
41,9,Male,40,Cambodia,1
32,9,Male,40,Cambodia,0
47,9,Male,48,Cambodia,0
50,9,Male,50,Cambodia,1
21,9,Female,37,Cambodia,0
18,8,Female,16,Cambodia,0
24,13,Male,40,Cambodia,0
38,9,Male,40,Cambodia,0
45,9,Male,40,Cambodia,0
69,4,Female,20,Cambodia,0
32,13,Male,70,Cambodia,0
21,9,Male,32,Cambodia,0
64,13,Female,30,Cambodia,0
28,13,Female,45,Cambodia,1
49,14,Female,75,Cambodia,0
59,7,Female,40,Cambodia,0
50,9,Male,40,Cambodia,0
58,9,Male,40,Cambodia,0
46,14,Male,50,Cambodia,1
38,9,Male,50,Cambodia,0
38,10,Male,40,Cambodia,1
28,12,Male,5,Cambodia,0
25,13,Female,40,Cambodia,0
29,15,Female,55,Cambodia,0
33,9,Female,40,Cambodia,0
33,9,Male,40,Cambodia,0
30,9,Male,40,Cambodia,0
36,12,Male,50,Cambodia,1
35,9,Female,40,Cambodia,0
40,9,Male,45,Cambodia,0
27,10,Female,40,Cambodia,0
43,9,Female,35,Cambodia,0
38,9,Male,40,Cambodia,0
39,12,Female,45,Cambodia,0
20,5,Male,35,Cambodia,0
32,10,Male,35,Cambodia,0
43,13,Male,40,Cambodia,0
41,13,Male,40,Cambodia,1
39,9,Male,40,Cambodia,0
32,9,Male,36,Cambodia,0
28,9,Male,45,Cambodia,0
24,9,Female,36,Cambodia,0
51,13,Male,40,Cambodia,1
38,10,Male,40,Cambodia,0
23,11,Male,40,Cambodia,0
46,9,Female,40,Cambodia,1
48,4,Male,55,Cambodia,0
43,10,Male,50,Cambodia,0
17,6,Female,24,Cambodia,0
41,9,Female,20,Cambodia,0
30,13,Male,40,Iran,1
25,9,Male,40,Cambodia,0
26,10,Male,40,Poland,0
48,9,Male,40,Cambodia,1
48,14,Male,40,Cambodia,0
51,15,Male,40,Cambodia,0
31,13,Male,60,Cambodia,0
24,13,Male,40,Cambodia,0
58,9,Female,40,Cambodia,0
36,9,Male,40,Cambodia,1
40,5,Male,49,Cambodia,0
47,13,Female,40,Cambodia,0
39,16,Male,50,Cambodia,1
35,13,Male,50,Cambodia,1
22,10,Female,40,Cambodia,0
45,14,Male,40,Cambodia,1
25,9,Male,48,Cambodia,0
21,9,Female,25,Cambodia,0
55,10,Male,40,Cambodia,0
26,13,Male,45,Cambodia,0
38,9,Female,35,Cambodia,0
44,8,Male,40,Cambodia,0
43,7,Female,25,Cambodia,0
18,10,Female,15,Cambodia,0
35,10,Female,70,Cambodia,0
31,14,Female,30,Cambodia,0
53,13,Male,40,Cambodia,1
49,9,Male,40,Cambodia,0
28,12,Male,30,Cambodia,0
24,13,Female,40,Cambodia,0
26,9,Female,40,Cambodia,0
53,5,Male,40,Japan,0
18,9,Female,40,Cambodia,0
51,2,Female,35,Puerto-Rico,0
33,7,Female,40,Cambodia,0
58,13,Male,25,Cambodia,0
32,13,Male,60,Cambodia,1
63,1,Male,30,Nicaragua,0
69,15,Male,3,Cambodia,0
43,14,Female,50,Cambodia,1
34,10,Male,50,Cambodia,0
38,10,Male,40,Cambodia,0
40,4,Male,60,Cambodia,0
44,5,Female,50,Cambodia,0
35,9,Male,40,Cambodia,0
48,10,Male,40,Cambodia,1
22,10,Male,35,Cambodia,0
44,10,Male,40,Cambodia,1
36,10,Male,40,Laos,0
51,9,Male,52,Cambodia,0
34,14,Male,40,Cambodia,0
34,10,Male,60,Cambodia,0
62,2,Female,30,Cambodia,0
22,10,Male,40,Cambodia,0
37,6,Male,35,Cambodia,0
22,13,Female,20,Cambodia,0
24,9,Female,36,Cambodia,0
45,8,Male,40,Cambodia,0
42,9,Male,40,Cambodia,0
30,9,Male,35,Cambodia,1
35,9,Male,55,Cambodia,1
37,9,Male,40,Cambodia,0
45,14,Male,40,Cambodia,1
20,9,Female,55,Cambodia,0
40,9,Female,46,Cambodia,1
57,9,Male,20,Cambodia,0
45,13,Male,20,Cambodia,0
31,10,Male,40,Cambodia,0
21,10,Male,40,Cambodia,0
29,8,Male,40,Cambodia,1
29,9,Male,40,Cambodia,0
41,9,Male,40,Cambodia,0
27,12,Female,40,Cambodia,0
36,9,Male,45,Cambodia,0
42,9,Male,60,Cambodia,1
42,9,Male,40,Cambodia,1
26,13,Female,75,Canada,1
61,14,Male,40,Cambodia,1
43,14,Male,50,Cambodia,1
30,9,Male,45,Yugoslavia,0
50,14,Male,50,Cambodia,1
34,9,Female,40,Cambodia,0
33,10,Female,40,Cambodia,0
19,9,Male,35,Cambodia,0
32,14,Female,50,Cambodia,1
60,14,Male,52,Cambodia,1
56,10,Female,60,Cambodia,1
66,11,Male,30,Cambodia,0
22,10,Male,35,Cambodia,0
36,13,Male,50,Ireland,0
56,13,Male,50,Cambodia,1
19,10,Male,20,Cambodia,0
40,10,Male,48,Cambodia,1
35,9,Female,48,Cambodia,0
62,9,Male,40,Cambodia,0
45,9,Female,40,Cambodia,0
60,9,Female,40,Cambodia,0
59,9,Male,40,Cambodia,0
36,15,Male,50,Cambodia,1
35,8,Male,20,Cambodia,0
40,10,Female,40,Cambodia,0
32,13,Male,40,Cambodia,0
41,13,Male,60,Cambodia,1
52,9,Male,8,Cambodia,0
63,10,Female,40,Cambodia,0
37,15,Male,40,Dominican-Republic,1
29,9,Male,40,Cambodia,0
17,8,Female,6,Cambodia,0
22,10,Female,40,Cambodia,0
29,9,Female,40,Cambodia,0
33,9,Female,40,Cambodia,0
21,10,Male,40,Cambodia,0
24,13,Male,40,Cambodia,0
50,9,Male,50,Cambodia,1
56,9,Female,44,Cambodia,0
30,9,Male,40,Cambodia,0
50,14,Male,40,Cambodia,1
55,9,Male,40,Cambodia,0
53,9,Male,40,Cambodia,1
80,15,Male,35,Cambodia,1
58,12,Male,40,Cambodia,1
36,10,Male,40,Cambodia,1
22,7,Male,40,Cambodia,0
66,9,Male,40,Cambodia,1
61,14,Female,40,Cambodia,1
32,13,Male,55,Cambodia,0
53,9,Male,60,Cambodia,0
40,12,Male,40,Cambodia,1
19,10,Female,25,Cambodia,0
29,9,Male,40,Cambodia,0
21,10,Male,35,Cambodia,0
28,13,Male,50,Cambodia,1
30,9,Male,43,Cambodia,0
41,9,Male,50,Cambodia,1
45,12,Male,50,Cambodia,1
31,10,Male,50,Cambodia,0
24,13,Female,30,Cambodia,0
43,13,Male,70,Cambodia,1
28,13,Male,40,Cambodia,0
26,13,Male,40,Cambodia,0
23,13,Female,40,Cambodia,0
48,12,Male,40,Cambodia,0
34,14,Male,60,Cambodia,1
38,10,Female,40,Greece,0
27,9,Male,40,Cambodia,0
30,13,Female,60,Cambodia,1
40,11,Male,40,Cambodia,0
44,14,Male,48,Cambodia,0
34,13,Male,45,Japan,0
30,9,Male,28,Cambodia,0
50,9,Male,48,Cambodia,0
36,9,Female,40,Cambodia,0
37,13,Male,45,Cambodia,1
20,10,Female,30,Cambodia,0
29,13,Female,40,Cambodia,0
34,10,Male,40,Cambodia,0
39,9,Male,60,Cambodia,1
20,10,Female,35,Cambodia,0
37,12,Male,45,Cambodia,0
25,9,Male,70,Cambodia,0
30,15,Female,45,Cambodia,1
45,13,Male,48,Cambodia,1
32,13,Male,50,Cambodia,1
44,11,Male,40,Cambodia,0
59,11,Male,40,Cambodia,1
45,14,Male,50,Cambodia,1
32,13,Male,50,Cambodia,1
49,15,Male,65,Cambodia,1
35,6,Male,45,Cambodia,0
49,13,Male,40,Cambodia,1
39,9,Female,40,Cambodia,0
37,9,Male,40,England,0
55,9,Male,40,Cambodia,1
22,5,Female,40,Cambodia,0
32,13,Male,35,Cambodia,0
30,14,Male,40,Cambodia,0
30,10,Female,40,France,0
17,6,Male,30,Cambodia,0
60,10,Female,50,Cambodia,0
49,13,Female,40,Cambodia,0
49,13,Female,40,Iran,0
49,10,Male,30,Cambodia,0
32,9,Male,48,Cambodia,0
22,13,Female,10,Cambodia,0
61,9,Male,40,Cambodia,0
44,13,Male,40,Cambodia,1
23,10,Female,25,Cambodia,0
34,9,Female,40,Cambodia,0
32,15,Female,40,Cambodia,0
47,10,Male,60,Cambodia,0
35,10,Male,40,Cambodia,0
30,12,Female,37,Cambodia,1
58,10,Female,39,Cambodia,0
38,13,Male,60,Cambodia,0
25,10,Male,40,Cambodia,0
37,9,Female,40,Cambodia,0
24,10,Female,40,Cambodia,0
41,13,Female,25,Cambodia,1
44,13,Male,50,Cambodia,1
58,10,Female,40,Cambodia,1
39,13,Male,50,Cambodia,0
45,5,Male,40,Cambodia,1
36,12,Male,40,France,1
17,7,Male,45,Cambodia,0
45,9,Female,40,Cambodia,0
20,9,Female,45,Cambodia,0
34,10,Male,50,Cambodia,1
28,10,Male,40,Cambodia,0
37,13,Male,50,Cambodia,0
33,11,Female,26,Cambodia,0
63,10,Female,60,Cambodia,0
28,5,Male,40,Nicaragua,0
23,12,Male,40,Cambodia,0
90,13,Male,55,Cambodia,0
34,9,Female,28,Cambodia,0
40,9,Male,40,Cambodia,1
65,14,Female,40,Cambodia,0
34,10,Male,50,Cambodia,0
46,11,Male,40,Cambodia,1
48,10,Male,50,Cambodia,0
21,9,Male,50,Cambodia,0
35,9,Female,40,Cambodia,0
20,9,Male,60,Cambodia,0
29,13,Male,40,Cambodia,0
49,12,Male,25,Cambodia,0
59,9,Male,45,Cambodia,1
46,6,Female,20,Cambodia,0
26,13,Male,40,Cambodia,0
26,13,Male,40,Cambodia,0
37,9,Male,42,Cambodia,0
30,13,Male,40,Cambodia,1
53,14,Male,40,Cambodia,0
36,13,Male,40,Cambodia,0
33,13,Male,40,Cambodia,0
21,9,Male,40,Cambodia,0
32,9,Male,40,Cambodia,0
46,9,Male,40,Cambodia,1
36,9,Female,35,Cambodia,0
46,13,Male,45,France,1
21,6,Female,40,Cambodia,0
73,9,Male,40,France,0
39,13,Male,50,Cambodia,1
25,9,Female,40,Cambodia,0
38,9,Male,40,Cambodia,0
56,9,Female,37,Cambodia,0
22,9,Male,40,Cambodia,0
47,13,Male,45,Cambodia,0
44,13,Female,37,Cambodia,0
27,14,Male,45,Cambodia,0
35,13,Male,50,Cambodia,1
59,9,Male,40,Cambodia,1
31,9,Male,40,Cambodia,0
45,9,Female,15,Cambodia,0
55,9,Female,40,Cambodia,0
42,15,Male,40,Dominican-Republic,1
31,9,Male,38,Cambodia,0
41,9,Male,40,Cambodia,0
60,9,Male,65,Cambodia,1
24,9,Male,40,Cambodia,0
44,9,Male,55,Cambodia,0
58,9,Male,24,Cambodia,0
39,10,Male,50,Cambodia,1
25,9,Male,48,Cambodia,0
42,12,Male,36,Cambodia,1
22,9,Male,40,Cambodia,0
39,9,Female,40,Cambodia,0
36,9,Female,40,Cambodia,0
26,9,Female,40,Cambodia,0
53,3,Female,50,Poland,0
60,9,Male,45,Cambodia,0
28,10,Male,60,Cambodia,0
21,7,Female,40,Cambodia,0
46,9,Female,40,Cambodia,0
62,9,Male,45,Cambodia,1
29,10,Male,50,Cambodia,0
41,10,Male,40,Cambodia,1
21,10,Male,35,Cambodia,0
25,13,Female,30,Cambodia,1
29,14,Male,50,Greece,0
47,9,Male,38,Cambodia,0
70,6,Male,45,Cambodia,0
39,10,Male,45,Cambodia,0
46,10,Male,89,Cambodia,1
46,7,Male,40,Cambodia,0
43,10,Male,40,Cambodia,0
27,9,Male,40,Cambodia,0
42,9,Female,40,Cambodia,1
57,7,Male,40,Cambodia,0
28,9,Male,45,Portugal,0
33,9,Male,50,Cambodia,0
36,10,Male,55,Cambodia,0
45,9,Male,40,Cambodia,1
59,9,Male,40,Cambodia,0
25,7,Male,40,Cambodia,0
45,9,Male,45,Cambodia,1
44,13,Male,65,Cambodia,1
26,9,Male,36,Cambodia,0
47,7,Female,45,Cambodia,0
40,6,Female,70,Cambodia,0
19,9,Female,40,Cambodia,0
40,2,Female,40,Ecuador,0
47,7,Female,40,Cambodia,0
54,9,Female,35,Cambodia,0
31,10,Male,45,Cambodia,0
24,9,Male,55,Cambodia,0
56,10,Female,35,Cambodia,1
19,7,Male,56,Cambodia,0
42,10,Male,45,Cambodia,1
67,4,Male,40,Cambodia,0
49,13,Male,45,Cambodia,1
28,9,Male,35,Cambodia,0
34,13,Female,40,Cambodia,0
36,2,Male,40,Nicaragua,0
24,9,Female,30,Cambodia,0
33,7,Male,60,Cambodia,0
25,10,Male,42,Cambodia,0
45,9,Male,45,Cambodia,0
40,13,Female,20,Cambodia,0
28,11,Male,40,Portugal,0
24,11,Male,55,Cambodia,0
23,10,Male,32,Dominican-Republic,0
32,11,Male,55,Cambodia,1
40,13,Male,40,Cambodia,0
36,9,Female,35,Cambodia,1
32,11,Female,80,Guatemala,1
48,14,Male,50,Cambodia,1
38,8,Female,50,Cambodia,0
26,10,Male,40,Cambodia,0
28,10,Male,60,Cambodia,0
32,10,Male,47,Cambodia,0
43,15,Female,32,Cambodia,0
42,10,Male,40,Cambodia,0
61,9,Male,40,Cambodia,1
42,15,Male,50,Cambodia,1
47,13,Male,40,Cambodia,1
35,10,Female,40,Cambodia,0
33,11,Male,40,Cambodia,0
42,11,Male,40,Cambodia,1
49,13,Male,40,Poland,0
44,14,Male,40,Cambodia,0
30,9,Female,40,Taiwan,0
25,13,Male,43,Cambodia,0
34,9,Male,40,Cambodia,0
27,8,Male,50,Cambodia,0
32,12,Male,56,France,1
19,10,Male,15,Cambodia,0
29,9,Male,65,Cambodia,0
23,8,Male,50,Cambodia,0
23,9,Male,40,Cambodia,0
24,9,Female,40,Cambodia,0
24,10,Female,25,Cambodia,0
46,15,Male,40,Cambodia,1
48,9,Female,36,Cambodia,0
31,9,Male,40,Cambodia,0
36,9,Female,40,Cambodia,1
31,13,Female,40,Cambodia,0
38,10,Female,58,Cambodia,0
34,10,Male,48,Cambodia,1
47,9,Male,40,Cambodia,0
41,13,Male,35,Cambodia,1
54,7,Male,40,Cambodia,0
19,10,Female,20,Cambodia,0
26,9,Male,48,Cambodia,0
24,10,Female,50,Poland,0
49,9,Male,40,Cambodia,1
26,9,Female,30,Cambodia,0
27,2,Male,35,Ecuador,0
66,15,Male,50,Cambodia,0
53,9,Female,40,Cambodia,0
25,13,Female,40,Cambodia,0
44,12,Male,50,Cambodia,0
28,13,Male,40,Cambodia,1
59,9,Male,15,Cambodia,0
38,10,Female,30,Cambodia,0
39,12,Female,25,Cambodia,1
40,14,Female,45,Cambodia,1
74,10,Male,16,Cambodia,0
27,9,Male,60,Cambodia,1
40,13,Male,72,Cambodia,1
37,13,Female,30,Cambodia,1
63,9,Male,20,Cambodia,0
57,9,Male,40,Cambodia,1
29,11,Male,42,Cambodia,1
38,11,Male,70,Ireland,0
20,5,Female,40,England,0
36,10,Male,40,Cambodia,1
72,4,Female,40,Cambodia,0
36,10,Male,45,Cambodia,0
21,9,Female,35,Cambodia,0
37,5,Female,30,England,0
42,9,Male,40,Cambodia,1
51,16,Male,40,Cambodia,1
48,10,Male,40,Cambodia,1
29,9,Male,40,Cambodia,0
37,9,Male,40,Cambodia,0
43,13,Male,35,Cambodia,1
23,9,Male,40,Cambodia,0
24,13,Male,50,Cambodia,0
54,9,Male,50,Cambodia,0
35,9,Male,60,Cambodia,0
63,7,Male,22,Cambodia,0
39,13,Male,40,Cambodia,0
47,13,Female,25,Greece,0
31,9,Female,40,Cambodia,0
35,10,Male,40,Cambodia,0
45,12,Male,40,Cambodia,0
40,10,Male,43,Cambodia,0
30,14,Male,40,Italy,0
31,12,Female,41,Cambodia,0
40,9,Female,35,Cambodia,0
34,9,Female,38,Cambodia,0
25,10,Female,25,Cambodia,0
53,9,Female,40,Cambodia,0
52,9,Female,40,Cambodia,0
33,10,Female,40,Cambodia,0
19,8,Male,40,Cambodia,0
24,10,Female,25,Cambodia,0
38,9,Female,50,Cambodia,1
58,9,Male,60,Cambodia,0
39,10,Male,40,Cambodia,1
18,8,Female,8,Cambodia,0
50,13,Female,50,Cambodia,0
53,13,Male,40,Cambodia,1
26,10,Male,50,Cambodia,0
31,9,Female,40,Cambodia,0
40,9,Female,40,Cambodia,0
23,13,Female,40,Cambodia,0
25,10,Female,40,Cambodia,0
64,11,Male,48,Cambodia,0
46,13,Male,40,Cambodia,1
38,10,Male,40,Cambodia,0
69,14,Female,5,Cambodia,0
52,14,Male,45,Cambodia,1
44,10,Male,60,Cambodia,0
39,7,Female,40,Cambodia,0
66,9,Female,25,Cambodia,0
28,13,Female,40,Cambodia,1
40,9,Male,40,Cambodia,0
22,10,Female,40,Cambodia,0
22,10,Female,15,Cambodia,0
29,10,Female,40,Cambodia,0
18,7,Male,50,Cambodia,0
41,9,Female,40,Cambodia,0
40,9,Male,40,Cambodia,1
42,10,Male,50,Cambodia,0
45,10,Male,40,Cambodia,0
36,9,Male,40,Cambodia,0
47,9,Female,40,Cambodia,0
28,13,Female,35,Cambodia,0
51,10,Male,40,Cambodia,1
30,6,Male,40,Cambodia,0
25,9,Male,30,Cambodia,0
43,10,Male,42,Cambodia,0
90,4,Male,40,Cambodia,0
36,14,Male,50,Cambodia,1
35,11,Male,40,Cambodia,0
33,9,Male,40,Cambodia,0
43,13,Male,48,Cambodia,1
48,15,Male,45,Cambodia,1
24,8,Male,40,Cambodia,0
27,10,Male,45,El-Salvador,0
30,9,Male,40,Cambodia,0
20,10,Female,15,Cambodia,0
45,10,Female,40,Cambodia,0
24,13,Male,40,Cambodia,0
63,9,Male,40,Cambodia,0
27,9,Male,45,Cambodia,0
29,13,Male,40,Cambodia,0
62,4,Male,40,Cambodia,0
45,13,Male,60,Cambodia,1
21,9,Female,40,Cambodia,0
29,10,Male,46,Cambodia,1
54,10,Male,40,Cambodia,0
42,7,Male,47,Cambodia,0
50,14,Male,80,Cambodia,1
23,10,Female,30,Cambodia,0
57,9,Male,40,Cambodia,1
49,10,Male,50,Cambodia,0
43,13,Female,40,Cambodia,0
56,13,Male,48,Cambodia,1
27,9,Male,60,Cambodia,0
46,10,Male,40,Cambodia,1
41,14,Female,45,France,0
47,9,Male,40,Cambodia,1
17,7,Male,20,Cambodia,0
46,9,Female,36,Cambodia,0
45,10,Male,42,Cambodia,0
28,9,Male,45,Cambodia,0
68,9,Female,10,Cambodia,0
43,14,Male,45,Cambodia,0
28,13,Male,50,Cambodia,0
28,9,Male,40,Cambodia,0
42,9,Male,40,Cambodia,0
20,9,Male,40,Cambodia,0
32,9,Male,40,Cambodia,0
42,3,Male,40,England,0
49,9,Male,50,Cambodia,1
54,14,Female,40,Cambodia,0
29,13,Female,45,Cambodia,1
27,10,Male,40,Cambodia,0
61,7,Female,36,Cambodia,0
23,9,Male,45,Cambodia,0
49,10,Male,46,Cambodia,0
57,9,Male,30,Cambodia,0
66,9,Female,15,Cambodia,0
35,9,Female,32,Cambodia,0
48,13,Male,40,Iran,1
35,12,Male,40,Cambodia,0
42,14,Male,45,Cambodia,0
37,10,Male,45,Cambodia,0
22,14,Female,21,Cambodia,0
53,9,Male,72,Cambodia,0
37,10,Female,30,Cambodia,0
23,9,Male,40,Cambodia,1
45,7,Female,36,Cambodia,0
62,13,Male,50,Cambodia,1
36,11,Male,42,Cambodia,1
48,9,Male,40,Cambodia,0
53,9,Male,40,Cambodia,1
45,7,Female,40,Cambodia,0
29,13,Male,40,Cambodia,0
23,13,Male,40,Cambodia,0
57,9,Male,30,Cambodia,1
28,9,Female,40,Cambodia,0
32,13,Male,50,Cambodia,1
21,10,Male,16,Cambodia,0
48,9,Male,45,Cambodia,0
47,4,Female,35,Cambodia,0
21,9,Female,40,Cambodia,0
57,9,Male,40,Cambodia,0
19,9,Male,35,Cambodia,0
38,6,Male,45,Cambodia,0
46,6,Male,40,Cambodia,0
27,10,Male,40,Cambodia,1
27,9,Male,40,Nicaragua,0
50,10,Male,40,Cambodia,0
34,10,Male,55,Cambodia,0
64,3,Male,70,China,0
46,13,Male,40,Dominican-Republic,1
57,10,Male,45,Cambodia,1
50,12,Male,50,Cambodia,1
25,13,Male,46,Cambodia,0
30,15,Male,50,Cambodia,1
41,13,Male,24,Cambodia,0
33,9,Male,40,Nicaragua,0
23,10,Male,42,Cambodia,0
39,13,Male,50,Cambodia,1
42,9,Male,40,Cambodia,0
43,10,Male,40,Cambodia,0
33,10,Female,40,Cambodia,0
50,13,Male,40,Cambodia,1
35,9,Male,50,Cambodia,1
51,13,Male,55,Cambodia,0
38,10,Female,40,Cambodia,1
43,9,Female,24,Cambodia,0
20,10,Male,35,Cambodia,0
35,9,Male,40,Cambodia,0
26,14,Male,48,Cambodia,0
34,10,Female,40,Greece,0
66,9,Male,42,Cambodia,1
59,14,Male,80,Cambodia,1
29,13,Male,40,Cambodia,0
27,10,Male,40,Cambodia,0
